Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Maize,1990,36613.0,1485.0,121.0,16.37
Albania,Potatoes,1990,66667.0,1485.0,121.0,16.37
Albania,"Rice, paddy",1990,23333.0,1485.0,121.0,16.37
Albania,Sorghum,1990,12500.0,1485.0,121.0,16.37
Albania,Soybeans,1990,7000.0,1485.0,121.0,16.37
Albania,Wheat,1990,30197.0,1485.0,121.0,16.37
Albania,Maize,1991,29068.0,1485.0,121.0,15.36
Albania,Potatoes,1991,77818.0,1485.0,121.0,15.36
Albania,"Rice, paddy",1991,28538.0,1485.0,121.0,15.36
Albania,Sorghum,1991,6667.0,1485.0,121.0,15.36
Albania,Soybeans,1991,6066.0,1485.0,121.0,15.36
Albania,Wheat,1991,20698.0,1485.0,121.0,15.36
Albania,Maize,1992,24876.0,1485.0,121.0,16.06
Albania,Potatoes,1992,82920.0,1485.0,121.0,16.06
Albania,"Rice, paddy",1992,40000.0,1485.0,121.0,16.06
Albania,Sorghum,1992,3747.0,1485.0,121.0,16.06
Albania,Soybeans,1992,4507.0,1485.0,121.0,16.06
Albania,Wheat,1992,24388.0,1485.0,121.0,16.06
Albania,Maize,1993,24185.0,1485.0,121.0,16.05
Albania,Potatoes,1993,98446.0,1485.0,121.0,16.05
Albania,"Rice, paddy",1993,41786.0,1485.0,121.0,16.05
Albania,Soybeans,1993,7998.0,1485.0,121.0,16.05
Albania,Wheat,1993,29976.0,1485.0,121.0,16.05
Albania,Maize,1994,25848.0,1485.0,201.0,16.96
Albania,Potatoes,1994,81404.0,1485.0,201.0,16.96
Albania,Soybeans,1994,7927.0,1485.0,201.0,16.96
Albania,Wheat,1994,24745.0,1485.0,201.0,16.96
Albania,Maize,1995,31300.0,1485.0,251.0,15.67
Albania,Potatoes,1995,111323.0,1485.0,251.0,15.67
Albania,Soybeans,1995,11791.0,1485.0,251.0,15.67
Albania,Wheat,1995,28703.0,1485.0,251.0,15.67
Albania,Maize,1996,32604.0,1485.0,313.96,15.64
Albania,Potatoes,1996,106138.0,1485.0,313.96,15.64
Albania,Soybeans,1996,15480.0,1485.0,313.96,15.64
Albania,Wheat,1996,21741.0,1485.0,313.96,15.64
Albania,Maize,1997,31862.0,1485.0,376.93,15.9
Albania,Potatoes,1997,109874.0,1485.0,376.93,15.9
Albania,Soybeans,1997,12768.0,1485.0,376.93,15.9
